datetime,cpu_load1,cpu_load5,mem_used(M),mem_free(M)
2025-12-09_00:17:38,0,0,4312,105470
2025-12-09_00:17:43,0,0,4312,105471
2025-12-09_00:17:48,0,0,4312,105471
2025-12-09_00:17:53,0,0,4312,105471
2025-12-09_00:17:58,0,0,4312,105471
2025-12-09_00:18:03,0,0,4316,105466
2025-12-09_00:18:08,0,0,4317,105466
2025-12-09_00:18:13,0,0,4314,105469
2025-12-09_00:18:18,0,0,4314,105468
2025-12-09_00:18:23,0,0,4314,105469
2025-12-09_00:18:28,0,0,4317,105465
2025-12-09_00:18:33,0,0,4316,105467
2025-12-09_00:18:38,0,0,4316,105467
2025-12-09_00:18:43,0,0,4316,105467
2025-12-09_00:18:48,0,0,4316,105467
2025-12-09_00:18:53,0,0,4314,105468
2025-12-09_00:18:58,0,0,4314,105468
2025-12-09_00:19:03,0,0,4316,105467
2025-12-09_00:19:08,0,0,4314,105468
2025-12-09_00:19:13,0,0,4314,105469
2025-12-09_00:19:18,0,0,4314,105469
2025-12-09_00:19:23,0,0,4313,105469
2025-12-09_00:19:28,0,0,4312,105471
2025-12-09_00:19:33,0,0,4312,105471
2025-12-09_00:19:38,0,0,4312,105471
2025-12-09_00:19:43,0,0,4311,105471
2025-12-09_00:19:48,0,0,4311,105471
2025-12-09_00:19:53,0,0,4311,105471
2025-12-09_00:19:58,0,0,4311,105471
2025-12-09_00:20:03,0,0,4321,105461
2025-12-09_00:20:08,0,0,4319,105463
2025-12-09_00:20:13,0,0,4319,105464
2025-12-09_00:20:18,0,0,4316,105467
2025-12-09_00:20:23,0,0,4316,105467
2025-12-09_00:20:28,0,0,4313,105469
2025-12-09_00:20:33,0,0,4313,105469
2025-12-09_00:20:38,0,0,4313,105469
2025-12-09_00:20:43,0,0,4313,105470
2025-12-09_00:20:48,0,0,4313,105470
2025-12-09_00:20:53,0,0,4313,105470
2025-12-09_00:20:58,0,0,4313,105470
2025-12-09_00:21:03,0,0,4320,105463
2025-12-09_00:21:08,0,0,4318,105464
2025-12-09_00:21:13,0,0,4314,105468
2025-12-09_00:21:18,0,0,4314,105469
2025-12-09_00:21:23,0,0,4313,105469
2025-12-09_00:21:28,0,0,4318,105465
2025-12-09_00:21:33,0,0,4318,105465
2025-12-09_00:21:38,0,0,4318,105465
2025-12-09_00:21:43,0,0,4317,105465
2025-12-09_00:21:48,0,0,4317,105465
2025-12-09_00:21:53,0,0,4317,105466
2025-12-09_00:21:58,0,0,4317,105466
2025-12-09_00:22:03,0,0,4323,105459
2025-12-09_00:22:08,0,0,4323,105460
2025-12-09_00:22:13,0,0,4321,105461
2025-12-09_00:22:18,0,0,4321,105462
2025-12-09_00:22:23,0,0,4321,105462
2025-12-09_00:22:28,0,0,4320,105462
2025-12-09_00:22:33,0,0,4320,105463
2025-12-09_00:22:38,0,0,4320,105463
2025-12-09_00:22:43,0,0,4319,105463
2025-12-09_00:22:48,0,0,4319,105463
2025-12-09_00:22:53,0,0,4319,105463
2025-12-09_00:22:58,0,0,4319,105463
2025-12-09_00:23:03,0,0,4323,105459
2025-12-09_00:23:08,0,0,4324,105458
2025-12-09_00:23:13,0,0,4322,105461
2025-12-09_00:23:18,0,0,4324,105459
2025-12-09_00:23:23,0,0,4323,105459
2025-12-09_00:23:28,0,0,4319,105464
2025-12-09_00:23:33,0,0,4318,105464
2025-12-09_00:23:38,0,0,4318,105464
2025-12-09_00:23:43,0,0,4318,105464
2025-12-09_00:23:48,0,0,4318,105464
2025-12-09_00:23:53,0,0,4318,105464
2025-12-09_00:23:58,0,0,4318,105465
2025-12-09_00:24:03,0,0,4323,105460
2025-12-09_00:24:08,0,0,4323,105460
2025-12-09_00:24:13,0,0,4322,105461
2025-12-09_00:24:18,0,0,4322,105461
2025-12-09_00:24:23,0,0,4321,105462
2025-12-09_00:24:28,0,0,4321,105461
2025-12-09_00:24:33,0,0,4321,105461
2025-12-09_00:24:38,0,0,4321,105461
2025-12-09_00:24:43,0,0,4321,105462
2025-12-09_00:24:48,0,0,4321,105462
2025-12-09_00:24:53,0,0,4321,105462
2025-12-09_00:24:58,0,0,4321,105461
2025-12-09_00:25:03,0,0,4322,105460
2025-12-09_00:25:08,0,0,4323,105460
2025-12-09_00:25:13,0,0,4322,105461
2025-12-09_00:25:18,0,0,4322,105460
2025-12-09_00:25:23,0,0,4322,105461
2025-12-09_00:25:28,0,0,4323,105459
2025-12-09_00:25:33,0,0,4323,105460
2025-12-09_00:25:38,0,0,4322,105460
2025-12-09_00:25:43,0,0,4322,105461
2025-12-09_00:25:48,0,0,4322,105461
2025-12-09_00:25:53,0,0,4321,105461
2025-12-09_00:25:58,0,0,4321,105461
2025-12-09_00:26:03,0,0,4329,105453
2025-12-09_00:26:08,0,0,4329,105454
2025-12-09_00:26:13,0,0,4328,105455
2025-12-09_00:26:18,0,0,4325,105457
2025-12-09_00:26:23,0,0,4325,105457
2025-12-09_00:26:28,0,0,4327,105455
2025-12-09_00:26:33,0,0,4327,105455
2025-12-09_00:26:38,0,0,4327,105456
2025-12-09_00:26:43,0,0,4327,105456
2025-12-09_00:26:48,0,0,4327,105456
2025-12-09_00:26:53,0,0,4326,105456
2025-12-09_00:26:58,0,0,4326,105456
2025-12-09_00:27:03,0,0,4329,105454
2025-12-09_00:27:08,0,0,4329,105453
2025-12-09_00:27:13,0,0,4327,105455
2025-12-09_00:27:18,0,0,4325,105457
2025-12-09_00:27:23,0,0,4324,105458
2025-12-09_00:27:28,0,0,4326,105457
2025-12-09_00:27:33,0,0,4326,105456
2025-12-09_00:27:38,0,0,4326,105456
2025-12-09_00:27:43,0,0,4326,105456
2025-12-09_00:27:48,0,0,4326,105456
2025-12-09_00:27:53,0,0,4326,105457
2025-12-09_00:27:58,0,0,4326,105457
2025-12-09_00:28:03,0,0,4327,105455
2025-12-09_00:28:08,0,0,4328,105454
2025-12-09_00:28:13,0,0,4327,105456
2025-12-09_00:28:18,0,0,4327,105456
2025-12-09_00:28:23,0,0,4327,105456
2025-12-09_00:28:28,0,0,4327,105455
2025-12-09_00:28:33,0,0,4327,105455
2025-12-09_00:28:38,0,0,4322,105460
2025-12-09_00:28:43,0,0,4322,105460
2025-12-09_00:28:48,0,0,4322,105460
